relative_path,accession,title,pages,size,sha256,doi_found,relevance,status,repo_matches
Wave 5/AD1095966_IonAccelerationandNeutronProductioninHybridGasPuffZPincheso.pdf,AD1095966,Ion Accelerationand Neutron Productionin Hy rid Gas Puff ZPincheso,11,2437229,e1335f508ed0426b1b7f349577b7fe33dffaeeb0a29a01f5ac46d615501c0ce8,10.1063/1.5132845,medium,intake_unreviewed_not_KR,
Wave 5/AD1096219_LocalMeasurementsoftheSpatialMagneticFieldDistributioninaZ-P.pdf,AD1096219,Local Measurementsofthe Spatial Magnetic Field Distri utionina Z P,11,2382737,7a665849ebdf2ddd36b0dbf9e498c3d9be47772a13a865696d7dcb713f919e28,10.1063/1.5126934,medium,intake_unreviewed_not_KR,
Wave 5/AD1098588_AccelerationofProtonsandDeuteronsUpto35MevandGenerationof1.pdf,AD1098588,Accelerationof Protonsand Deuterons Upto35Mevand Generationof1,12,1852932,3f0ebd08020635ec18e73c84634f127c45097841b5e08ad32bb5dac4308416b0,10.1088/1361-6587/aadc99,medium,intake_unreviewed_not_KR,
Wave 5/AD1100306_bSimulationsbofaDensePlasmaFocusonaHigh-ImpedanceGenerat.pdf,AD1100306,Simulations of a Dense Plasma Focus on a High-Impedance Generator,5,1654297,0358c24d9e71dffd8ac423c60b212a782b66fb598294763fbd08fea5baae103e,10.1109/TPS.2018.2865188,high,intake_unreviewed_not_KR,
Wave 5/AD1100651_ObservationsoftheMagneto-Rayleigh-TaylorInstabilityandShockDyna.pdf,AD1100651,O servationsofthe Magneto Rayleigh Taylor Insta ilityand Shock Dyna,10,3337149,912060223b28054105305aee6ac2414b1b4706ff730da34194959651c5d24d81,10.1063/1.5032084,medium,intake_unreviewed_not_KR,
Wave 5/AD1116543_2019NRLPlasmaFormulary.pdf,AD1116543,2019NRLPlasma Formulary,72,647682,037290d47c8ff043cad3c846dba42f7233037a7c9077f61343564472d8ccf31b,,medium,intake_unreviewed_not_KR,
Wave 5/AD1123736_CharacterizationofElectronBeamsfromaDensePlasmaFocus.pdf,AD1123736,Characterization of Electron Beams from a Dense Plasma Focus,19,1191083,d48f6741c06bded703c9efa64d512819fb9f32c5dae0520049537211a1f5b2f4,,high,intake_unreviewed_not_KR,
Wave 5/AD1194691_bSimulatingbaPulsed-Power-DrivenPlasmawithIdealbMHDb.pdf,AD1194691,Simulating a pulsed-power-driven plasma with ideal MHD,11,2764798,b5b77f274da5d975d9a026ff207679959f73f8c97fa0f137b2dfa34f81aa1b80,10.1063/5.0073242,medium,intake_unreviewed_not_KR,
Wave 5/AD1206892_Particle-in-CellModelingofOmegaExperimentsonAblationofbPlasm.pdf,AD1206892,Particle-in-Cell Modeling of Omega Experiments on Ablation of Plasmas,9,3907161,153394e55da3a2661b9051fe4624542fc07e39e31b65c8cb14ad2eb5986ae228,10.1109/TPS.2022.3220184,medium,intake_unreviewed_not_KR,
Wave 5/AD1300646_StudiesofbPlasmabSheathPhysicsusingContinuumKineticbSim.pdf,AD1300646,Studies of Plasma Sheath Physics using Continuum Kinetic Simulations of Plasmas,6,130256,e15a4b416ec0e492ce73a5b1129a2c0a030cbceecb5c10c81e24bdb1d5c26da1,,medium,intake_unreviewed_not_KR,
Wave 5/AD1330276_PhysicsandApplicationsofDustyPlasmasThePerspectives2023.pdf,AD1330276,Physicsand Applicationsof Dusty Plasmas The Perspectives2023,54,5559924,070a82829ee95eee263bf3aab048a0267c70b36c738ade10184cf7e05a555a51,10.1063/5.0168088,low,intake_unreviewed_not_KR,
